hpo_id,hpo_label_2013,hpo_label_2017,alt_id,facial_congenital,hpoName,2017_to_2013_alt
HP:0000036,Abnormality of the penis,Abnormality of the penis,,congenital abnormality,Abnormality of the penis,
HP:0000037,Male pseudohermaphroditism,Male pseudohermaphroditism,,none,Male pseudohermaphroditism,
HP:0000039,Epispadias,Epispadias,,congenital abnormality,Epispadias,
HP:0000040,Enlarged penis,Long penis,,non-facial dysmorphism,Enlarged penis,
HP:0000041,Chordee,Chordee,,,Chordee,
HP:0000042,Absent external genitalia,Absent external genitalia,,,Absent external genitalia,
HP:0000044,Hypogonadotrophic hypogonadism,Hypogonadotrophic hypogonadism,HP:0003335HP:0008224,none,Hypogonadotrophic hypogonadism,
HP:0000045,Abnormality of the scrotum,Abnormality of the scrotum,,congenital abnormality,Abnormality of the scrotum,
HP:0000046,Scrotal hypoplasia,Scrotal hypoplasia,,congenital abnormality,Scrotal hypoplasia,
HP:0000047,Hypospadias,Hypospadias,,congenital abnormality,Hypospadias,
HP:0000048,Bifid scrotum,Bifid scrotum,,congenital abnormality,Bifid scrotum,
HP:0000049,Shawl scrotum,Shawl scrotum,,congenital abnormality,Shawl scrotum,
HP:0000050,Hypoplastic genitalia,Hypoplastic male external genitalia,HP:0008710HP:0008721,congenital abnormality,Hypoplastic genitalia,
HP:0000051,Perineal hypospadias,Perineal hypospadias,,,Perineal hypospadias,
HP:0000052,"Urethral atresia, male","Urethral atresia, male",,,"Urethral atresia, male",
HP:0000053,Macroorchidism,Macroorchidism,,non-facial dysmorphism,Macroorchidism,
HP:0000054,Micropenis,Micropenis,HP:0000038,congenital abnormality,Micropenis,
HP:0000055,Abnormality of female external genitalia,Abnormality of female external genitalia,,congenital abnormality,Abnormality of female external genitalia,
HP:0000056,Abnormality of the clitoris,Abnormality of the clitoris,,,Abnormality of the clitoris,
HP:0000057,Clitoromegaly,obsolete Clitoromegaly,,non-facial dysmorphism,Clitoromegaly,
HP:0000058,Abnormality of the labia,Abnormality of the labia,,congenital abnormality,Abnormality of the labia,
HP:0000059,Hypoplastic labia majora,Hypoplastic labia majora,,congenital abnormality,Hypoplastic labia majora,
HP:0000060,Clitoral hypoplasia,Clitoral hypoplasia,,,Clitoral hypoplasia,
HP:0000061,"Ambiguous genitalia, female","Ambiguous genitalia, female",HP:0008690,,"Ambiguous genitalia, female",
HP:0000062,Ambiguous genitalia,Ambiguous genitalia,HP:0008685HP:0008693,congenital abnormality,Ambiguous genitalia,
HP:0000063,Fused labia minora,Fused labia minora,,congenital abnormality,Fused labia minora,
HP:0000064,Hypoplastic labia minora,Hypoplastic labia minora,,,Hypoplastic labia minora,
HP:0000065,Labial hypertrophy,Labial hypertrophy,,none,Labial hypertrophy,
HP:0000066,Labial hypoplasia,Labial hypoplasia,,congenital abnormality,Labial hypoplasia,
HP:0000067,"Urethral atresia, female","Urethral atresia, female",,,"Urethral atresia, female",
HP:0000068,Urethral atresia,Urethral atresia,,,Urethral atresia,
HP:0000069,Abnormality of the ureter,Abnormality of the ureter,HP:0006001,congenital abnormality,Abnormality of the ureter,
HP:0000070,Ureterocele,Ureterocele,,none,Ureterocele,
HP:0000071,Ureteral stenosis,Ureteral stenosis,,congenital abnormality,Ureteral stenosis,
HP:0000072,Hydroureter,Hydroureter,HP:0006003,none,Hydroureter,
HP:0000073,Ureteral duplication,Ureteral duplication,,congenital abnormality,Ureteral duplication,
HP:0000074,Ureteropelvic junction obstruction,Ureteropelvic junction obstruction,,congenital abnormality,Ureteropelvic junction obstruction,
HP:0000075,Renal duplication,Renal duplication,,congenital abnormality,Renal duplication,
HP:0000076,Vesicoureteral reflux,Vesicoureteral reflux,HP:0005998HP:0006002HP:0008667,none,Vesicoureteral reflux,
HP:0000077,Abnormality of the kidney,Abnormality of the kidney,,congenital abnormality,Abnormality of the kidney,
HP:0000078,Abnormality of the genital system,Abnormality of the genital system,,congenital abnormality,Abnormality of the genital system,
HP:0000079,Abnormality of the urinary system,Abnormality of the urinary system,,congenital abnormality,Abnormality of the urinary system,
HP:0000080,Abnormality of genital physiology,Abnormality of reproductive system physiology,,,Abnormality of genital physiology,
HP:0000081,Duplicated collecting system,Duplicated collecting system,,,Duplicated collecting system,
HP:0000082,Abnormality of renal physiology,,,,Abnormality of renal physiology,
HP:0000083,Renal failure,Renal insufficiency,HP:0000084HP:0004723,none,Renal failure,
HP:0000084,Renal failure in adulthood,,,,Renal failure in adulthood,
HP:0000085,Horseshoe kidney,Horseshoe kidney,,congenital abnormality,Horseshoe kidney,
HP:0000086,Ectopic kidney,Ectopic kidney,,congenital abnormality,Ectopic kidney,
HP:0000087,Impaired renal function,,,,Impaired renal function,
HP:0000089,Renal hypoplasia,Renal hypoplasia,HP:0001968HP:0004741HP:0008641,congenital abnormality,Renal hypoplasia,
HP:0000090,Nephronophthisis,Nephronophthisis,HP:0004748,,Nephronophthisis,
HP:0000091,Abnormality of the renal tubule,Abnormal renal tubule morphology,,congenital abnormality,Abnormality of the renal tubule,
HP:0000092,Tubular atrophy,Renal tubular atrophy,HP:0005578,none,Tubular atrophy,
HP:0000093,Proteinuria,Proteinuria,,none,Proteinuria,
HP:0000094,Urinary tract infections,,,,Urinary tract infections,
HP:0000095,Morphological abnormalities of the glomeruli,Abnormality of renal glomerulus morphology,,,Morphological abnormalities of the glomeruli,
HP:0000096,Glomerulosclerosis,Glomerulosclerosis,HP:0030761,,Glomerulosclerosis,
HP:0000097,Focal segmental glomerulosclerosis,Focal segmental glomerulosclerosis,HP:0004747,none,Focal segmental glomerulosclerosis,
HP:0000098,Tall stature,Tall stature,HP:0001527HP:0003515HP:0003516,none,Tall stature,
HP:0000099,Glomerulonephritis,Glomerulonephritis,,none,Glomerulonephritis,
HP:0000100,Nephrotic syndrome,Nephrotic syndrome,HP:0000801HP:0004718HP:0008638HP:0008727,none,Nephrotic syndrome,
HP:0000101,Chronic renal failure,,,none,Chronic renal failure,
HP:0000103,Polyuria,Polyuria,HP:0200060,none,Polyuria,
HP:0000104,Renal agenesis,Renal agenesis,HP:0000785HP:0004745HP:0008680,congenital abnormality,Renal agenesis,
HP:0000105,Enlarged kidneys,Enlarged kidney,,congenital abnormality,Enlarged kidneys,
HP:0000106,Progressive renal insufficiency,,,,Progressive renal insufficiency,
HP:0000107,Renal cysts,Renal cyst,HP:0000088HP:0000109,congenital abnormality,Renal cysts,
HP:0000108,Corticomedullary cysts,Renal corticomedullary cysts,,,Corticomedullary cysts,
HP:0000110,Renal dysplasia,Renal dysplasia,HP:0000116HP:0004721,congenital abnormality,Renal dysplasia,
HP:0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia,Renal juxtaglomerular cell hypertrophy/hyperplasia,,,Renal juxtaglomerular cell hypertrophy/hyperplasia,
HP:0000112,Nephropathy,Nephropathy,,none,Nephropathy,
HP:0000113,Polycystic kidney dysplasia,Polycystic kidney dysplasia,HP:0004716HP:0004739HP:0004740HP:0008645HP:0008673HP:0008699,congenital abnormality,Polycystic kidney dysplasia,
HP:0000114,Proximal renal tubule defect,Proximal tubulopathy,HP:0000806,none,Proximal renal tubule defect,
HP:0000117,Decreased renal tubular phosphate reabsorption,Renal phosphate wasting,,,Decreased renal tubular phosphate reabsorption,
HP:0000118,Phenotypic abnormality,Phenotypic abnormality,,,Phenotypic abnormality,
HP:0000119,Abnormality of the genitourinary system,Abnormality of the genitourinary system,HP:0008658HP:0008688HP:0008704HP:0008713,,Abnormality of the genitourinary system,
HP:0000120,Reduced creatinine clearance,,,,Reduced creatinine clearance,
HP:0000121,Nephrocalcinosis,Nephrocalcinosis,,none,Nephrocalcinosis,
HP:0000122,Unilateral renal agenesis,Unilateral renal agenesis,,congenital abnormality,Unilateral renal agenesis,
HP:0000123,Nephritis,Nephritis,HP:0008634,none,Nephritis,
HP:0000124,Renal tubular dysfunction,Renal tubular dysfunction,,none,Renal tubular dysfunction,
HP:0000125,Pelvic kidney,Pelvic kidney,,congenital abnormality,Pelvic kidney,
HP:0000126,Hydronephrosis,Hydronephrosis,,none,Hydronephrosis,
HP:0000127,Renal salt wasting,Renal salt wasting,,,Renal salt wasting,
HP:0000128,Renal potassium wasting,Renal potassium wasting,,,Renal potassium wasting,
HP:0000129,Interstitial fibrosis,,,,Interstitial fibrosis,
HP:0000130,Abnormality of the uterus,Abnormality of the uterus,HP:0008630HP:0008692,congenital abnormality,Abnormality of the uterus,
HP:0000131,Uterine leiomyoma,Uterine leiomyoma,HP:0008642,none,Uterine leiomyoma,
HP:0000132,Menorrhagia,Menorrhagia,HP:0100609,none,Menorrhagia,
HP:0000133,Gonadal dysgenesis,Gonadal dysgenesis,HP:0003243,,Gonadal dysgenesis,
HP:0000134,Female hypogonadism,Female hypogonadism,,,Female hypogonadism,
HP:0000135,Hypogonadism,Hypogonadism,,none,Hypogonadism,
HP:0000136,Bifid uterus,Bifid uterus,,,Bifid uterus,
HP:0000137,Abnormality of the ovary,Abnormality of the ovary,,congenital abnormality,Abnormality of the ovary,
HP:0000138,Ovarian cysts,Ovarian cyst,HP:0000146,none,Ovarian cysts,
HP:0000139,Uterine prolapse,Uterine prolapse,HP:0100824,none,Uterine prolapse,
HP:0000140,Abnormality of the menstrual cycle,Abnormality of the menstrual cycle,,none,Abnormality of the menstrual cycle,
HP:0000141,Amenorrhea,Amenorrhea,,none,Amenorrhea,
HP:0000142,Abnormality of the vagina,Abnormal vagina morphology,HP:0008650,congenital abnormality,Abnormality of the vagina,
HP:0000143,Rectovaginal fistula,Rectovaginal fistula,,none,Rectovaginal fistula,
HP:0000144,Decreased fertility,Decreased fertility,,none,Decreased fertility,
HP:0000145,Transverse vaginal septum,Transverse vaginal septum,,,Transverse vaginal septum,
HP:0000146,Ovarian cystic abnormality,,,,Ovarian cystic abnormality,
HP:0000147,Polycystic ovaries,Polycystic ovaries,HP:0008644HP:0008657,none,Polycystic ovaries,
HP:0000148,Vaginal atresia,Vaginal atresia,,congenital abnormality,Vaginal atresia,
HP:0000149,Ovarian gonadoblastoma,Ovarian gonadoblastoma,,,Ovarian gonadoblastoma,
HP:0000150,Gonadoblastoma,Gonadoblastoma,HP:0006745,,Gonadoblastoma,
HP:0000151,Aplasia of the uterus,Aplasia of the uterus,,congenital abnormality,Aplasia of the uterus,
HP:0000152,Abnormality of head and neck,Abnormality of head or neck,,,Abnormality of head and neck,
HP:0000153,Abnormality of the mouth,Abnormality of the mouth,,facial dysmorphism,Abnormality of the mouth,
HP:0000154,Wide mouth,Wide mouth,HP:0000181HP:0002052,facial dysmorphism,Wide mouth,
HP:0000155,Oral ulcers,Oral ulcer,,none,Oral ulcers,
HP:0000156,High-arched palate,,,non-facial dysmorphism,High-arched palate,
HP:0000157,Abnormality of the tongue,Abnormality of the tongue,,congenital abnormality,Abnormality of the tongue,
HP:0000158,Macroglossia,Macroglossia,HP:0000203,non-facial dysmorphism,Macroglossia,
HP:0000159,Lip abnormality,Abnormal lip morphology,,facial dysmorphism,Lip abnormality,
HP:0000160,Small mouth,Narrow mouth,HP:0002261HP:0009095HP:0009096,facial dysmorphism,Small mouth,
HP:0000161,Median cleft lip,Median cleft lip,,congenital abnormality,Median cleft lip,
HP:0000162,Glossoptosis,Glossoptosis,,congenital abnormality,Glossoptosis,
HP:0000163,Abnormality of the oral cavity,Abnormal oral cavity morphology,,congenital abnormality,Abnormality of the oral cavity,
HP:0000164,Abnormality of the teeth,Abnormality of the dentition,HP:0001567HP:0006296HP:0006348,congenital abnormality,Abnormality of the teeth,
HP:0000165,Periodontitis,,,,Periodontitis,
HP:0000166,Severe periodontitis,Severe periodontitis,,,Severe periodontitis,
HP:0000167,Oral bleeding,,,,Oral bleeding,
HP:0000168,Abnormality of the gingiva,Abnormality of the gingiva,,none,Abnormality of the gingiva,
HP:0000169,Gingival fibromatosis,Gingival fibromatosis,,,Gingival fibromatosis,
HP:0000170,Full lips,,,facial dysmorphism,Full lips,
HP:0000171,Microglossia,Microglossia,HP:0000226HP:0009079,non-facial dysmorphism,Microglossia,
HP:0000172,Abnormality of the uvula,Abnormality of the uvula,,congenital abnormality,Abnormality of the uvula,
HP:0000174,Abnormality of the palate,Abnormal palate morphology,,congenital abnormality,Abnormality of the palate,
HP:0000175,Cleft palate,Cleft palate,HP:0410004,congenital abnormality,Cleft palate,
HP:0000176,Submucous cleft palate,Submucous cleft hard palate,HP:0000208HP:0002746HP:0009091,congenital abnormality,Submucous cleft palate,
HP:0000177,Abnormality of upper lip,Abnormality of upper lip,,facial dysmorphism,Abnormality of upper lip,
HP:0000178,Abnormality of lower lip,Abnormality of lower lip,,facial dysmorphism,Abnormality of lower lip,
HP:0000179,Thick lower lip vermilion,Thick lower lip vermilion,HP:0000170,facial dysmorphism,Thick lower lip vermilion,
HP:0000180,Lobulated tongue,Lobulated tongue,,non-facial dysmorphism,Lobulated tongue,
HP:0000182,Movement abnormalities of the tongue,Movement abnormality of the tongue,,none,Movement abnormalities of the tongue,
HP:0000183,Difficulty in tongue movements,Difficulty in tongue movements,,none,Difficulty in tongue movements,
HP:0000184,Prominent lips,,,facial dysmorphism,Prominent lips,
HP:0000185,Cleft soft palate,Cleft soft palate,,congenital abnormality,Cleft soft palate,
HP:0000187,Broad alveolar ridges,Broad alveolar ridges,,non-facial dysmorphism,Broad alveolar ridges,
HP:0000188,Short upper lip,Short upper lip,HP:0200087,facial dysmorphism,Short upper lip,
HP:0000189,Narrow palate,Narrow palate,,congenital abnormality,Narrow palate,
HP:0000190,Abnormality of oral frenula,Abnormal oral frenulum morphology,,congenital abnormality,Abnormality of oral frenula,
HP:0000191,Accessory oral frenulum,Accessory oral frenulum,,,Accessory oral frenulum,
HP:0000193,Bifid uvula,Bifid uvula,HP:0000173HP:0410032,congenital abnormality,Bifid uvula,
HP:0000194,Open mouth,Open mouth,,facial dysmorphism,Open mouth,
HP:0000196,Lower lip pit,Lower lip pit,,,Lower lip pit,
HP:0000197,Abnormality of parotid gland,Abnormal parotid gland morphology,,,Abnormality of parotid gland,
HP:0000198,Absence of Stensen duct,Absence of Stensen duct,,,Absence of Stensen duct,
HP:0000199,Tongue nodules,Tongue nodules,,,Tongue nodules,
HP:0000200,Short lingual frenulum,Short lingual frenulum,,non-facial dysmorphism,Short lingual frenulum,
HP:0000201,Pierre-Robin sequence,Pierre-Robin sequence,,congenital abnormality,Pierre-Robin sequence,
HP:0000202,Cleft lip/palate,Oral cleft,,congenital abnormality,Cleft lip/palate,
HP:0000204,Cleft lip,Cleft upper lip,,congenital abnormality,Cleft lip,
HP:0000205,Pursed lips,Pursed lips,,,Pursed lips,
HP:0000206,Glossitis,Glossitis,,,Glossitis,
HP:0000207,Triangular mouth,Triangular mouth,,facial dysmorphism,Triangular mouth,
HP:0000208,Submucous cleft lip/palate,,,,Submucous cleft lip/palate,
HP:0000209,Abnormality of the jaws,,,,Abnormality of the jaws,
HP:0000210,Micrognathia,,,,Micrognathia,
HP:0000211,Trismus,Trismus,,none,Trismus,
HP:0000212,Gingival overgrowth,Gingival overgrowth,HP:0000195,none,Gingival overgrowth,
HP:0000213,Thin lips,,,facial dysmorphism,Thin lips,
HP:0000214,Lip telangiectasia,Lip telangiectasia,,,Lip telangiectasia,
HP:0000215,Thick upper lip vermilion,Thick upper lip vermilion,HP:0000231,facial dysmorphism,Thick upper lip vermilion,
HP:0000216,Broad secondary alveolar ridge,Broad secondary alveolar ridge,,,Broad secondary alveolar ridge,
HP:0000217,Xerostomia,Xerostomia,HP:0002709HP:0100756,,Xerostomia,
HP:0000218,High palate,High palate,HP:0000156HP:0009080HP:0009082HP:0009097,congenital abnormality,High palate,
HP:0000219,Thin upper lip vermilion,Thin upper lip vermilion,HP:0200062HP:0200086,facial dysmorphism,Thin upper lip vermilion,
HP:0000220,Velopharyngeal insufficiency,Velopharyngeal insufficiency,,none,Velopharyngeal insufficiency,
HP:0000221,Furrowed tongue,Furrowed tongue,,non-facial dysmorphism,Furrowed tongue,
HP:0000222,Gingival hyperkeratosis,Gingival hyperkeratosis,HP:0007539,,Gingival hyperkeratosis,
HP:0000223,Abnormality of taste sensation,Abnormality of taste sensation,,,Abnormality of taste sensation,
HP:0000224,Decreased taste sensation,Decreased taste sensation,,,Decreased taste sensation,
HP:0000225,Gingival bleeding,Gingival bleeding,HP:0000167,,Gingival bleeding,
HP:0000227,Tongue telangiectases,Tongue telangiectasia,,,Tongue telangiectases,
HP:0000228,Teleangiectases in oral cavity,Oral cavity telangiectasia,,,Teleangiectases in oral cavity,
HP:0000230,Gingivitis,Gingivitis,,none,Gingivitis,
HP:0000231,Thin vermillion border of upper lip,,,,Thin vermillion border of upper lip,
HP:0000232,Everted lower lip vermilion,Everted lower lip vermilion,HP:0000184HP:0002264HP:0002712HP:0004665HP:0009086HP:0009093,facial dysmorphism,Everted lower lip vermilion,
HP:0000233,Thin vermillion border,Thin vermilion border,HP:0000213,facial dysmorphism,Thin vermillion border,
HP:0000234,Abnormality of the head,Abnormality of the head,,facial dysmorphism,Abnormality of the head,
HP:0000235,Abnormality of the fontanelles and cranial sutures,Abnormality of the fontanelles or cranial sutures,,non-facial dysmorphism,Abnormality of the fontanelles and cranial sutures,
HP:0000236,Abnormality of the anterior fontanelle,Abnormality of the anterior fontanelle,,non-facial dysmorphism,Abnormality of the anterior fontanelle,
HP:0000237,Small anterior fontanelle,Small anterior fontanelle,,,Small anterior fontanelle,
HP:0000238,Hydrocephalus,Hydrocephalus,HP:0007189HP:0008503,congenital abnormality,Hydrocephalus,
HP:0000239,Large fontanelles,Large fontanelles,HP:0004473,non-facial dysmorphism,Large fontanelles,
HP:0000240,Abnormality of skull size,Abnormality of skull size,,non-facial dysmorphism,Abnormality of skull size,
HP:0000241,Deceleration of head growth,,,,Deceleration of head growth,
HP:0000242,Parietal bossing,Parietal bossing,HP:0004641,,Parietal bossing,
HP:0000243,Trigonocephaly,Trigonocephaly,,non-facial dysmorphism,Trigonocephaly,
HP:0000244,Brachyturricephaly,Brachyturricephaly,,non-facial dysmorphism,Brachyturricephaly,
HP:0000245,Abnormality of the sinuses,Abnormality of the paranasal sinuses,,,Abnormality of the sinuses,
HP:0000246,Sinusitis,Sinusitis,,none,Sinusitis,
HP:0000247,Posterior flattening of the skull,,,non-facial dysmorphism,Posterior flattening of the skull,
HP:0000248,Brachycephaly,Brachycephaly,HP:0002258HP:0004479HP:0008512,non-facial dysmorphism,Brachycephaly,
HP:0000250,Dense calvaria,Dense calvaria,,,Dense calvaria,
HP:0000252,Microcephaly,Microcephaly,HP:0001366HP:0005485HP:0005489HP:0005497,none,Microcephaly,
HP:0000253,"Microcephaly, progressive",Progressive microcephaly,,none,"Microcephaly, progressive",
HP:0000255,Acute sinusitis,Acute sinusitis,,,Acute sinusitis,
HP:0000256,Macrocephaly,Macrocephaly,HP:0005491HP:0005496HP:0200135,none,Macrocephaly,
HP:0000258,Scaphocephaly,,,non-facial dysmorphism,Scaphocephaly,
HP:0000259,"Microcephaly, acquired",,,none,"Microcephaly, acquired",
HP:0000260,Wide anterior fontanel,Wide anterior fontanel,,non-facial dysmorphism,Wide anterior fontanel,
HP:0000262,Turricephaly,Turricephaly,HP:0001356,non-facial dysmorphism,Turricephaly,
HP:0000263,Oyxcephaly,Oxycephaly,,,Oyxcephaly,
HP:0000264,Abnormality of the mastoid,Abnormality of the mastoid,,,Abnormality of the mastoid,
HP:0000265,Mastoiditis,Mastoiditis,,none,Mastoiditis,
HP:0000267,Cranial asymmetry,Cranial asymmetry,,facial dysmorphism,Cranial asymmetry,
HP:0000268,Dolichocephaly,Dolichocephaly,HP:0000258HP:0005440,non-facial dysmorphism,Dolichocephaly,
HP:0000269,Prominent occiput,Prominent occiput,HP:0004489,non-facial dysmorphism,Prominent occiput,
HP:0000270,Delayed closure of fontanelles,Delayed cranial suture closure,HP:0002704HP:0003794,none,Delayed closure of fontanelles,
HP:0000271,Abnormality of the face,Abnormality of the face,,facial dysmorphism,Abnormality of the face,
HP:0000272,Malar hypoplasia,Malar flattening,HP:0000312HP:0000332HP:0004642HP:0004658HP:0004671HP:0005319HP:0005443HP:0005455HP:0100846,facial dysmorphism,Malar hypoplasia,
HP:0000273,Facial grimacing,Facial grimacing,,none,Facial grimacing,
HP:0000274,Small face,Small face,,facial dysmorphism,Small face,
HP:0000275,Narrow face,Narrow face,HP:0000318,facial dysmorphism,Narrow face,
HP:0000276,Long face,Long face,HP:0000334,facial dysmorphism,Long face,
HP:0000277,Abnormality of the mandible,Abnormality of the mandible,HP:0000209,congenital abnormality,Abnormality of the mandible,
HP:0000278,Retrognathia,Retrognathia,HP:0002053HP:0002954,facial dysmorphism,Retrognathia,
HP:0000280,Coarse facial features,Coarse facial features,HP:0000281HP:0004640,facial dysmorphism,Coarse facial features,
HP:0000281,Mildly coarse facies,,,facial dysmorphism,Mildly coarse facies,
HP:0000282,Facial edema,Facial edema,,facial dysmorphism,Facial edema,
HP:0000283,Broad face,Broad face,,facial dysmorphism,Broad face,
HP:0000284,Abnormality of the ocular region,obsolete Abnormality of the ocular region,,,Abnormality of the ocular region,
HP:0000286,Epicanthus,Epicanthus,HP:0000624HP:0007930,facial dysmorphism,Epicanthus,
HP:0000287,Normal or increased facial adipose tissue,Increased facial adipose tissue,,,Normal or increased facial adipose tissue,
HP:0000288,Abnormality of the philtrum,Abnormality of the philtrum,HP:0011216,facial dysmorphism,Abnormality of the philtrum,
HP:0000289,Wide philtrum,Broad philtrum,,facial dysmorphism,Wide philtrum,
HP:0000290,Abnormality of the forehead,Abnormality of the forehead,,facial dysmorphism,Abnormality of the forehead,
HP:0000291,Abnormality of facial adipose tissue,Abnormality of facial adipose tissue,,,Abnormality of facial adipose tissue,
HP:0000292,Loss of facial adipose tissue,Loss of facial adipose tissue,,,Loss of facial adipose tissue,
HP:0000293,Full cheeks,Full cheeks,HP:0002262HP:0004427,facial dysmorphism,Full cheeks,
HP:0000294,Low anterior hairline,Low anterior hairline,,facial dysmorphism,Low anterior hairline,
HP:0000295,'Doll-like' facies,Doll-like facies,,,'Doll-like' facies,
HP:0000297,Facial hypotonia,Facial hypotonia,,none,Facial hypotonia,
HP:0000298,Mask-like facies,Mask-like facies,,facial dysmorphism,Mask-like facies,
HP:0000299,"Long, smooth philtrum",,,facial dysmorphism,"Long, smooth philtrum",
HP:0000300,Oval face,Oval face,,facial dysmorphism,Oval face,
HP:0000301,Abnormality of facial musculature,Abnormality of facial musculature,,,Abnormality of facial musculature,
HP:0000303,Mandibular prognathia,Mandibular prognathia,HP:0000251HP:0000279HP:0000328HP:0002051HP:0004648HP:0004656HP:0008514,facial dysmorphism,Mandibular prognathia,
HP:0000304,"Round, full face",,,facial dysmorphism,"Round, full face",
HP:0000305,Prominent philtrum,,,facial dysmorphism,Prominent philtrum,
HP:0000306,Abnormality of the chin,Abnormality of the chin,,facial dysmorphism,Abnormality of the chin,
HP:0000307,Pointed chin,Pointed chin,HP:0005330,facial dysmorphism,Pointed chin,
HP:0000308,Microretrognathia,Microretrognathia,,facial dysmorphism,Microretrognathia,
HP:0000309,Abnormality of the midface,Abnormality of the midface,,facial dysmorphism,Abnormality of the midface,
HP:0000310,Prominent midface,,,,Prominent midface,
HP:0000311,Round face,Round face,HP:0000304HP:0004653,facial dysmorphism,Round face,
HP:0000314,Bitemporal narrowing,,,non-facial dysmorphism,Bitemporal narrowing,
HP:0000315,Abnormality of the orbital region,Abnormality of the orbital region,HP:0000284,facial dysmorphism,Abnormality of the orbital region,
HP:0000316,Hypertelorism,Hypertelorism,HP:0000578HP:0002001HP:0004657HP:0007871,facial dysmorphism,Hypertelorism,
HP:0000317,Facial myokymia,Facial myokymia,HP:0004651,,Facial myokymia,
HP:0000318,"Long, narrow facies",,,facial dysmorphism,"Long, narrow facies",
HP:0000319,Flat philtrum,Smooth philtrum,HP:0000299HP:0000323HP:0004663,facial dysmorphism,Flat philtrum,
HP:0000320,Bird-like facies,Bird-like facies,,facial dysmorphism,Bird-like facies,
HP:0000321,Square face,Square face,,facial dysmorphism,Square face,
